"sample_id","condition","replicate","cluster_id","n_cells","prop_within_sample"
"WT3","WT",3,"1",755,0.0967948717948718
"WT3","WT",3,"2",533,0.0683333333333333
"WT3","WT",3,"29",19,0.00243589743589744
"WT3","WT",3,"18",106,0.0135897435897436
"WT3","WT",3,"27",14,0.00179487179487179
"WT3","WT",3,"26",15,0.00192307692307692
"WT3","WT",3,"7",469,0.0601282051282051
"WT3","WT",3,"28",13,0.00166666666666667
"WT3","WT",3,"23",44,0.00564102564102564
"WT3","WT",3,"4",486,0.0623076923076923
"WT3","WT",3,"20",76,0.00974358974358974
"WT3","WT",3,"3",606,0.0776923076923077
"WT3","WT",3,"9",232,0.0297435897435897
"WT3","WT",3,"8",277,0.0355128205128205
"WT3","WT",3,"5",537,0.0688461538461538
